vendor_id,vendor_name,category,contract_start_date,contract_end_date,data_sensitivity,access_scope,access_type,systems_accessed,soc2_type2,soc2_expiry,iso27001,iso27001_expiry,gdpr_dpa,breach_history,breach_count,financial_rating,annual_spend,risk_score,risk_level,assessment_date,next_assessment_due,notes
VND-0001,Jackson-Robinson,Software Vendor,2021-09-24,2023-10-13,HIGH,1,read_only,"CRM Platform, Document Management System, Internal Wiki, Loan Origination System",FALSE,NULL,TRUE,2024-10-20,TRUE,None,0,A-,178982.36,50.2,MEDIUM,2024-10-27,2025-10-27,Vendor underwent annual security review with no critical findings; remediation tracked in ticket #9794.
VND-0002,"Weber, Smith and Mcguire",HR Platform,2020-01-29,2023-02-09,LOW,6,read_only,"Employee Directory, Payroll System, Benefits Portal, HRIS",FALSE,NULL,TRUE,2026-06-04,TRUE,2020-12-18:LOW:Ransomware attack disrupted service availability,2,A-,257151.91,1.8,LOW,2026-12-19,2027-12-19,Vendor consolidating services post-acquisition; access scope under review for right-sizing.
VND-0003,Nunez-Smith,Contractor,2024-06-12,2027-08-26,LOW,2,read_write,"Ticketing System, Internal Network",TRUE,2028-10-12,TRUE,2025-08-02,TRUE,2026-12-01:LOW:Social engineering attack bypassed access controls,3,B+,387344.31,56.2,MEDIUM,2025-05-24,2026-05-24,Vendor flagged during Q2 risk assessment due to a lapsed certification; remediation plan in progress.
VND-0004,Lin-Page,Cloud Provider,2022-02-26,2026-10-31,LOW,10,read_only,Azure Tenant,TRUE,2020-01-25,TRUE,2024-10-27,TRUE,None,0,B+,1065106.40,10.4,LOW,2026-02-18,2027-02-18,Routine compliance check completed; vendor maintains acceptable security posture.
VND-0005,"Lewis, Williams and Buck",Data Analytics,2020-08-18,2025-02-21,HIGH,7,read_write,"Data Warehouse, ETL Pipeline System, Customer Analytics Engine, BI Dashboard Platform",TRUE,2028-12-21,FALSE,NULL,TRUE,None,0,A,347036.85,44.0,MEDIUM,2024-03-01,2025-03-01,Onsite audit completed on 2024-01-18; vendor demonstrated adequate controls for high data handling.
VND-0006,"Lee, Hall and Parker",Security Vendor,2021-05-31,2024-09-26,HIGH,1,full_admin,"SIEM Platform, Firewall Management Console",FALSE,NULL,TRUE,2024-03-10,TRUE,None,0,B,387681.48,21.1,LOW,2026-03-27,2027-03-27,Vendor consolidating services post-acquisition; access scope under review for right-sizing.
VND-0007,"Washington, Graves and Martinez",Contractor,2025-03-18,2027-01-16,LOW,10,full_admin,"Internal Network, VPN Gateway",TRUE,2024-12-20,TRUE,2025-07-01,TRUE,2025-09-15:HIGH:Unauthorized access to customer database detected,2,A-,430289.72,90.1,HIGH,2026-03-23,2027-03-23,Routine compliance check completed; vendor maintains acceptable security posture.
VND-0008,Gallegos-Warren,Software Vendor,2022-05-26,2025-09-26,LOW,8,full_admin,"ERP System, Document Management System",TRUE,2028-09-24,TRUE,2022-05-28,TRUE,2024-10-26:MEDIUM:API key leak exposed customer records,1,A-,3008881.97,74.6,HIGH,2025-08-19,2026-08-19,Routine compliance check completed; vendor maintains acceptable security posture.
VND-0009,Nguyen-Clark,Backup Provider,2025-04-01,2027-06-04,MEDIUM,9,full_admin,"Disaster Recovery Site, Cloud Backup Vault, Tape Archive System, Backup Storage Array",FALSE,NULL,TRUE,2025-03-11,FALSE,None,0,B-,383777.57,55.2,MEDIUM,2024-08-03,2025-08-03,Vendor underwent annual security review with no critical findings; remediation tracked in ticket #5056.
VND-0010,"Brown, Clark and Marshall",Contractor,2022-11-05,2025-08-16,LOW,10,full_admin,"Ticketing System, VPN Gateway",TRUE,2026-04-28,FALSE,NULL,TRUE,None,0,B,2166116.49,3.9,LOW,2026-08-13,2027-08-13,Vendor relationship under active monitoring following a prior incident; quarterly check-ins scheduled.
VND-0011,Sloan and Sons,Data Analytics,2024-09-23,2028-08-29,HIGH,9,read_write,"Customer Analytics Engine, Data Warehouse",TRUE,2026-02-06,TRUE,2023-09-13,TRUE,2026-08-19:LOW:Insider threat led to data exfiltration,1,B-,405952.58,75.0,HIGH,2026-11-17,2027-11-17,Contract renewal pending legal review; vendor requested expanded access for Customer Analytics Engine integration.
VND-0012,Tucker LLC,Data Analytics,2023-11-01,2028-08-19,HIGH,10,read_write,"BI Dashboard Platform, ETL Pipeline System, Data Warehouse",TRUE,2023-06-08,TRUE,2024-12-31,TRUE,2024-01-03:LOW:Insider threat led to data exfiltration,1,B,412089.47,0.9,LOW,2024-03-13,2025-03-13,New vendor onboarded under expedited process; full assessment scheduled within 90 days.
VND-0013,Stone-Stephenson,Software Vendor,2020-10-16,2024-03-03,MEDIUM,6,read_write,"ERP System, Internal Wiki, Core Banking System",TRUE,2025-04-01,FALSE,NULL,TRUE,2024-04-19:MEDIUM:Malware infection on vendor's internal network,1,A,486538.92,55.2,MEDIUM,2025-12-05,2026-12-05,Contract renewal pending legal review; vendor requested expanded access for ERP System integration.
VND-0014,"Thomas, Walker and English",Security Vendor,2020-07-07,2024-06-18,LOW,1,read_only,"IAM System, SIEM Platform, Vulnerability Scanner",TRUE,2025-09-02,TRUE,2020-06-04,TRUE,None,0,B,961960.44,9.7,LOW,2025-09-05,2026-09-05,Vendor relationship under active monitoring following a prior incident; quarterly check-ins scheduled.
VND-0015,Martinez Inc,Backup Provider,2023-06-16,2027-08-06,LOW,2,read_only,Disaster Recovery Site,TRUE,2026-06-15,TRUE,2026-02-03,TRUE,None,0,B+,157767.04,28.9,LOW,2024-07-23,2025-07-23,New vendor onboarded under expedited process; full assessment scheduled within 90 days.
VND-0016,Strong-Lawrence,Cloud Provider,2023-02-07,2024-11-15,MEDIUM,10,full_admin,Azure Tenant,TRUE,2024-11-10,TRUE,2027-01-30,FALSE,2025-10-25:HIGH:Social engineering attack bypassed access controls,2,B+,178552.98,51.2,MEDIUM,2025-02-25,2026-02-25,Onsite audit completed on 2024-05-02; vendor demonstrated adequate controls for medium data handling.
VND-0017,Lang PLC,Software Vendor,2021-11-08,2025-01-09,CRITICAL,7,read_write,Loan Origination System,TRUE,2026-03-13,FALSE,NULL,TRUE,None,0,B+,241886.70,23.1,LOW,2026-07-18,2027-07-18,Routine compliance check completed; vendor maintains acceptable security posture.
VND-0018,"Sanders, Davis and Fisher",Software Vendor,2025-08-09,2028-05-16,HIGH,9,read_write,Core Banking System,TRUE,2027-07-24,TRUE,2025-05-17,TRUE,None,0,B+,3847933.45,3.3,LOW,2024-07-18,2025-07-18,Vendor underwent annual security review with no critical findings; remediation tracked in ticket #7078.
VND-0019,Ferrell-Pena,Software Vendor,2024-04-27,2027-01-10,CRITICAL,2,full_admin,"Loan Origination System, Core Banking System, Internal Wiki, Document Management System",TRUE,2025-09-13,TRUE,2026-05-28,TRUE,2024-12-20:LOW:Third-party plugin vulnerability exploited,1,B,1921619.31,52.3,MEDIUM,2026-11-16,2027-11-16,Vendor consolidating services post-acquisition; access scope under review for right-sizing.
VND-0020,Smith PLC,Consulting,2022-03-18,2025-12-08,LOW,4,read_only,"SharePoint, Financial Reporting System, Project Management Tool, Internal Network",TRUE,2025-07-30,FALSE,NULL,TRUE,None,0,A,61159.84,39.8,MEDIUM,2025-05-10,2026-05-10,Contract renewal pending legal review; vendor requested expanded access for SharePoint integration.
VND-0021,Miles-Hanson,Software Vendor,2022-02-20,2023-11-14,HIGH,1,read_write,"Loan Origination System, CRM Platform, ERP System",TRUE,2028-11-29,TRUE,2025-07-15,FALSE,None,0,B,183998.76,17.1,LOW,2025-06-29,2026-06-29,Onsite audit completed on 2026-06-01; vendor demonstrated adequate controls for high data handling.
