vendor_id,is_anomaly,anomaly_type,severity,expired_certifications,explanation
VND-0001,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 50.2 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0002,FALSE,NORMAL,LOW,None,"Vendor Weber, Smith and Mcguire shows no anomalous risk indicators; certifications current and risk profile within acceptable range."
VND-0003,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0004,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0005,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 44.0 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0006,TRUE,ELEVATED_RISK_VENDOR,MEDIUM,None,Vendor's risk score is trending upward and sits in an elevated medium-risk band warranting closer monitoring.
VND-0007,TRUE,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,None,"Vendor has a documented breach history while holding full_admin access at scope level 10, posing elevated exposure risk."
VND-0008,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,ISO27001,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0009,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 55.2 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0010,FALSE,NORMAL,LOW,None,"Vendor Brown, Clark and Marshall shows no anomalous risk indicators; certifications current and risk profile within acceptable range."
VND-0011,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,ISO27001,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0012,TRUE,EXPIRED_CERTIFICATION,MEDIUM,SOC2,Vendor has expired security certification(s) (SOC2) that should have been renewed.
VND-0013,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0014,TRUE,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Vendor has expired security certification(s) (ISO27001) that should have been renewed.
VND-0015,TRUE,ELEVATED_RISK_VENDOR,MEDIUM,None,Vendor's risk score is trending upward and sits in an elevated medium-risk band warranting closer monitoring.
VND-0016,TRUE,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,SOC2,"Vendor has a documented breach history while holding full_admin access at scope level 10, posing elevated exposure risk."
VND-0017,FALSE,NORMAL,LOW,None,Vendor Lang PLC shows no anomalous risk indicators; certifications current and risk profile within acceptable range.
VND-0018,FALSE,NORMAL,LOW,None,"Vendor Sanders, Davis and Fisher shows no anomalous risk indicators; certifications current and risk profile within acceptable range."
VND-0019,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0020,TRUE,HIGH_RISK_SCORE,HIGH,None,"Vendor's calculated risk score of 39.8 exceeds the high-risk threshold based on sensitivity, access, and compliance gaps."
VND-0021,FALSE,NORMAL,LOW,None,Vendor Miles-Hanson shows no anomalous risk indicators; certifications current and risk profile within acceptable range.
VND-0022,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
VND-0023,TRUE,EXPIRED_CERTIFICATION,MEDIUM,ISO27001,Vendor has expired security certification(s) (ISO27001) that should have been renewed.
VND-0024,TRUE,RECENTLY_BREACHED_VENDOR,HIGH,None,"Vendor experienced a security breach within the last 24 months, indicating ongoing security concerns."
