vendor_id,vendor_name,category,contract_start_date,contract_end_date,data_sensitivity,access_scope,access_type,systems_accessed,soc2_type2,soc2_expiry,iso27001,iso27001_expiry,gdpr_dpa,breach_history,breach_count,financial_rating,annual_spend,risk_score,risk_level,assessment_date,next_assessment_due,notes
VND-0007,"Washington, Graves and Martinez",Contractor,2025-03-18,2027-01-16,LOW,10,full_admin,"Internal Network, VPN Gateway",True,2024-12-20,True,2025-07-01,True,2025-09-15:HIGH:Unauthorized access to customer database detected,2,A-,430289.72,90.1,HIGH,2026-03-23,2027-03-23,Routine compliance check completed; vendor maintains acceptable security posture.
VND-0008,Gallegos-Warren,Software Vendor,2022-05-26,2025-09-26,LOW,8,full_admin,"ERP System, Document Management System",True,2028-09-24,True,2022-05-28,True,2024-10-26:MEDIUM:API key leak exposed customer records,1,A-,3008881.97,74.6,HIGH,2025-08-19,2026-08-19,Routine compliance check completed; vendor maintains acceptable security posture.
VND-0011,Sloan and Sons,Data Analytics,2024-09-23,2028-08-29,HIGH,9,read_write,"Customer Analytics Engine, Data Warehouse",True,2026-02-06,True,2023-09-13,True,2026-08-19:LOW:Insider threat led to data exfiltration,1,B-,405952.58,75.0,HIGH,2026-11-17,2027-11-17,Contract renewal pending legal review; vendor requested expanded access for Customer Analytics Engine integration.
VND-0029,"Parker, Russo and Curry",Cloud Provider,2023-12-26,2023-11-13,HIGH,10,read_only,AWS Production,True,2026-02-04,False,,True,,0,B+,366557.12,61.3,HIGH,2025-01-05,2026-01-05,Contract expired on 2023-11-13 but vendor retains active system access; renewal/offboarding decision pending from procurement.
VND-0035,"Martinez, Sharp and Stevens",Cloud Provider,2020-04-11,2025-04-02,LOW,3,read_only,"Kubernetes Cluster, S3 Data Lake",True,2026-12-27,True,2026-05-09,True,2026-02-14:HIGH:Phishing attack compromised employee credentials,2,B,190662.74,94.9,HIGH,2026-05-30,2027-05-30,Vendor currently under formal investigation by compliance team following irregularities identified in April review; access under heightened scrutiny pending outcome.
VND-0044,Schultz and Sons,Cloud Provider,2021-12-22,2023-12-28,MEDIUM,5,read_write,S3 Data Lake,False,,True,2024-06-23,True,,0,A,457725.54,89.1,HIGH,2026-06-22,2027-06-22,Vendor currently under formal investigation by compliance team following irregularities identified in August review; access under heightened scrutiny pending outcome.
VND-0053,"Mcintosh, Briggs and Hopkins",Data Analytics,2021-09-19,2023-07-12,MEDIUM,5,read_write,"ETL Pipeline System, BI Dashboard Platform",True,2027-11-29,True,2028-04-09,True,,0,B+,376285.01,95.2,HIGH,2024-09-05,2025-09-05,Vendor underwent annual security review with no critical findings; remediation tracked in ticket #4676.
VND-0061,"Ortega, Vega and Gibson",Data Analytics,2024-04-10,2028-01-09,MEDIUM,9,read_only,"BI Dashboard Platform, Customer Analytics Engine, ETL Pipeline System",False,,True,2028-12-08,True,,0,B,303732.28,87.0,HIGH,2025-05-11,2026-05-11,Contract renewal pending legal review; vendor requested expanded access for BI Dashboard Platform integration.
VND-0066,"Collins, Fleming and Lopez",Software Vendor,2021-02-15,2023-09-09,MEDIUM,5,full_admin,Core Banking System,False,,False,,True,,0,B+,2211687.45,96.2,HIGH,2025-12-08,2026-12-08,Vendor consolidating services post-acquisition; access scope under review for right-sizing.
VND-0067,Flores and Sons,Software Vendor,2022-11-02,2027-06-07,MEDIUM,9,full_admin,"ERP System, CRM Platform, Loan Origination System",False,,False,,True,2023-11-05:HIGH:Malware infection on vendor's internal network,2,B-,3484287.28,95.4,HIGH,2024-10-20,2025-10-20,Vendor consolidating services post-acquisition; access scope under review for right-sizing.
VND-0070,Adams PLC,Contractor,2020-09-06,2024-06-02,MEDIUM,2,read_write,"Dev Environment, VPN Gateway",True,2028-08-31,True,2026-12-02,True,2026-08-03:LOW:Phishing attack compromised employee credentials,1,A,462417.54,73.8,HIGH,2025-02-01,2026-02-01,Vendor flagged during Q4 risk assessment due to a lapsed certification; remediation plan in progress.
VND-0078,Avila and Sons,Software Vendor,2025-07-25,2028-06-30,HIGH,10,full_admin,"ERP System, Document Management System",True,2024-11-05,True,2026-05-12,False,2024-01-21:LOW:Insider threat led to data exfiltration,3,C,284593.12,88.1,HIGH,2025-04-08,2026-04-08,Vendor currently under formal investigation by compliance team following irregularities identified in November review; access under heightened scrutiny pending outcome.
VND-0081,Washington Ltd,Cloud Provider,2022-07-16,2024-11-07,MEDIUM,10,full_admin,"VPC Network, Azure Tenant, Kubernetes Cluster",False,,True,2024-01-24,True,2023-01-16:HIGH:Credential stuffing attack on admin portal,1,A-,346502.05,83.3,HIGH,2026-01-27,2027-01-27,Vendor consolidating services post-acquisition; access scope under review for right-sizing.
VND-0083,Schwartz-Mahoney,Payment Processor,2025-03-10,2028-08-06,MEDIUM,8,read_write,"ACH Processing System, Card Tokenization Service",True,2024-10-06,True,2028-11-23,True,2024-09-10:HIGH:Misconfigured cloud storage exposed sensitive files,2,A,3264927.41,71.0,HIGH,2026-04-13,2027-04-13,Vendor relationship under active monitoring following a prior incident; quarterly check-ins scheduled.
VND-0086,Rice-Warren,Contractor,2023-11-25,2026-03-09,CRITICAL,9,full_admin,"VPN Gateway, Dev Environment, Ticketing System",True,2027-02-18,False,,False,2025-03-29:HIGH:Misconfigured cloud storage exposed sensitive files,2,A,448405.35,89.3,HIGH,2026-03-18,2027-03-18,Contract renewal pending legal review; vendor requested expanded access for VPN Gateway integration.
VND-0102,Sanders-Morales,Backup Provider,2024-06-05,2026-12-03,MEDIUM,8,full_admin,"Disaster Recovery Site, Cloud Backup Vault, Backup Storage Array",True,2028-05-19,True,2024-10-02,False,2024-08-02:HIGH:Credential stuffing attack on admin portal,1,A-,193142.29,94.3,HIGH,2026-10-03,2027-10-03,Vendor relationship under active monitoring following a prior incident; quarterly check-ins scheduled.
VND-0115,Nolan-Rollins,Cloud Provider,2021-02-18,2023-05-01,HIGH,7,read_write,"Azure Tenant, AWS Production",False,,False,,True,2024-11-19:MEDIUM:Social engineering attack bypassed access controls,2,A,477658.24,64.2,HIGH,2025-10-29,2026-10-29,Vendor flagged during Q2 risk assessment due to a lapsed certification; remediation plan in progress.
VND-0122,"Harris, Edwards and Garner",Software Vendor,2023-12-25,2027-04-07,HIGH,9,full_admin,Loan Origination System,True,2027-05-26,False,,False,2021-04-23:HIGH:API key leak exposed customer records,1,B+,2167003.26,98.2,HIGH,2024-06-05,2025-06-05,Vendor consolidating services post-acquisition; access scope under review for right-sizing.
VND-0128,"Rivera, Munoz and Moran",Consulting,2023-06-26,2025-01-26,HIGH,6,read_write,"Internal Network, Financial Reporting System, SharePoint",True,2026-10-18,True,2025-07-03,True,,0,B,389173.01,73.6,HIGH,2024-01-17,2025-01-16,Contract expired on 2025-01-26 but vendor retains active system access; renewal/offboarding decision pending from procurement.
VND-0138,Armstrong Inc,Consulting,2024-04-22,2028-02-28,MEDIUM,8,full_admin,"Internal Network, Project Management Tool, SharePoint",True,2026-07-21,True,2026-04-12,True,2020-06-29:HIGH:Social engineering attack bypassed access controls,1,B-,357783.54,85.5,HIGH,2026-01-21,2027-01-21,Onsite audit completed on 2024-05-10; vendor demonstrated adequate controls for medium data handling.
